Species,Fishing.Area,Month,Weight.g,Length.cm,Width.cm,Height.cm,Age.years,Quality.Score,Season.Availability,Cost.TL,Wind.Speed.kmh,Sea.Surface.Temp.C,Active.Fishing.Days,Production.Volume.tonnes,Fishing.Ban.Flag,Price.TL
Palamut (Bonito),Aegean Sea,12,545.46,29.98,3.98,4.1,14,81.91,0.64,46.8,16.26,17.66,27,2697.86,0,212.42
Lüfer (Bluefish),Black Sea,6,590.42,34.97,4.51,4.54,17,92.44,0.33,57.5,56.54,11.47,11,1917.02,0,190.4
Levrek (Sea Bass),Marmara Sea,2,560.14,30.69,4.35,4.74,18,74.08,0.63,56.93,75.68,14.0,10,1462.4,0,236.8
Palamut (Bonito),Mediterranean Sea,6,529.04,31.21,4.15,4.33,10,92.75,0.46,46.67,72.87,25.57,11,1829.58,0,319.69
Palamut (Bonito),Marmara Sea,1,693.89,40.36,5.81,5.8,13,96.11,0.47,53.25,21.69,22.32,23,5000.0,0,272.29
Kalkan (Turbot),Aegean Sea,5,699.03,40.8,6.25,5.48,14,93.03,0.36,74.89,19.77,23.54,23,3917.24,0,209.83
Hamsi (Anchovy),Black Sea,8,167.14,9.01,1.21,2.02,11,80.69,0.37,45.24,7.95,9.58,28,5000.0,1,180.0
Çipura (Sea Bream),Mediterranean Sea,12,480.66,30.79,3.78,4.34,12,94.98,0.38,49.77,27.93,22.36,22,4348.33,0,180.0
İstavrit (Horse Mackerel),Mediterranean Sea,10,325.69,18.4,2.4,1.85,15,97.39,0.6,44.49,41.35,17.86,19,2435.01,0,222.67
Palamut (Bonito),Aegean Sea,9,611.31,36.2,5.6,4.66,3,97.7,0.7,53.69,70.24,24.74,11,988.08,0,417.47
Palamut (Bonito),Mediterranean Sea,2,574.19,32.78,4.33,4.17,10,100.0,0.6,61.81,14.43,25.33,25,5000.0,0,273.85
İstavrit (Horse Mackerel),Marmara Sea,7,324.18,21.59,2.64,2.45,11,78.4,0.63,40.84,44.75,13.47,15,1853.68,0,253.3
Çipura (Sea Bream),Aegean Sea,12,418.96,22.17,3.28,3.68,5,96.83,0.46,45.92,74.88,19.06,10,1815.15,0,206.9
Lüfer (Bluefish),Marmara Sea,11,484.07,25.81,3.59,4.35,7,99.88,0.88,58.01,47.28,13.53,15,2669.71,0,387.93
Çipura (Sea Bream),Black Sea,3,408.69,23.9,3.18,2.49,13,100.0,0.39,44.35,36.23,20.15,16,2751.22,0,204.51
Çipura (Sea Bream),Aegean Sea,7,544.43,31.26,4.47,4.5,18,81.82,0.97,54.33,73.1,16.19,10,811.17,0,376.39
Çipura (Sea Bream),Aegean Sea,1,555.66,31.78,5.02,5.24,13,88.58,0.73,43.86,25.44,20.78,23,3845.17,0,287.47
Kalkan (Turbot),Black Sea,1,667.55,40.03,5.33,5.2,3,90.34,0.6,57.96,9.0,20.79,27,3034.45,0,340.05
Levrek (Sea Bass),Marmara Sea,12,402.67,23.06,2.67,4.28,10,99.98,0.45,53.91,53.02,16.5,12,2315.89,0,273.4
Lüfer (Bluefish),Black Sea,8,472.67,29.06,4.31,4.49,5,91.87,0.71,61.34,63.89,14.51,10,1771.25,0,391.01
Hamsi (Anchovy),Mediterranean Sea,7,125.74,7.89,1.08,1.54,14,83.12,0.39,45.7,63.2,16.88,11,1487.94,0,180.0
İstavrit (Horse Mackerel),Marmara Sea,9,286.03,14.9,2.79,2.99,4,99.15,0.72,51.47,27.48,22.37,22,1734.39,0,362.84
Kalkan (Turbot),Mediterranean Sea,9,666.41,36.42,4.88,4.81,10,74.58,0.65,68.4,41.16,16.91,16,1951.32,0,283.21
Palamut (Bonito),Black Sea,7,691.5,39.63,5.4,5.74,7,100.0,0.55,54.64,22.21,10.58,22,3432.97,1,284.12
Hamsi (Anchovy),Marmara Sea,1,142.48,9.96,1.26,1.41,15,96.59,0.9,37.66,39.14,15.84,15,2635.09,0,316.09
Lüfer (Bluefish),Aegean Sea,3,611.99,33.5,4.71,4.77,3,91.04,0.35,69.39,54.29,17.76,14,1970.23,0,312.69
Lüfer (Bluefish),Mediterranean Sea,4,568.28,34.55,5.18,3.95,16,81.84,0.66,65.1,66.71,20.74,11,967.4,0,250.3
Palamut (Bonito),Marmara Sea,5,536.17,29.88,5.02,4.23,18,98.19,0.49,45.64,57.94,17.62,12,2010.16,1,204.61
Kalkan (Turbot),Marmara Sea,11,610.87,33.93,4.46,5.01,15,93.97,0.42,61.72,5.64,19.78,28,3922.35,0,184.31
Palamut (Bonito),Marmara Sea,8,705.23,39.91,5.94,5.07,10,81.86,0.75,70.15,6.01,16.81,25,2710.79,0,366.38
Hamsi (Anchovy),Mediterranean Sea,9,104.3,8.34,1.01,0.95,9,100.0,0.55,26.7,34.42,18.11,21,2410.68,0,276.07
Palamut (Bonito),Black Sea,10,545.12,29.84,4.95,4.16,19,91.1,0.34,63.45,20.39,18.0,22,2330.67,0,202.14
Palamut (Bonito),Marmara Sea,11,631.79,39.47,4.99,4.71,10,87.1,0.51,60.95,35.27,16.08,18,2689.08,0,271.87
Çipura (Sea Bream),Black Sea,7,524.09,31.78,3.98,3.93,3,100.0,0.94,65.14,22.94,19.8,25,5000.0,0,429.91
Kalkan (Turbot),Marmara Sea,9,745.33,42.66,6.28,5.49,16,86.6,0.56,73.86,42.78,19.0,13,2234.03,0,288.27
Kalkan (Turbot),Black Sea,7,695.37,41.71,5.89,4.83,2,100.0,0.42,53.47,79.63,20.45,10,1268.86,0,312.76
Kalkan (Turbot),Mediterranean Sea,7,752.63,43.05,5.92,6.07,3,90.25,0.44,71.55,30.36,24.22,19,2698.87,1,354.35
Lüfer (Bluefish),Mediterranean Sea,5,463.48,26.9,4.03,3.33,18,100.0,0.71,59.65,20.96,22.47,23,3171.34,0,302.29
Kalkan (Turbot),Marmara Sea,7,778.58,46.35,5.32,5.69,6,92.99,0.34,61.85,58.78,22.39,15,1780.79,0,317.3
Palamut (Bonito),Mediterranean Sea,6,603.07,32.98,4.52,5.2,1,93.79,0.31,53.82,73.83,18.72,10,1660.31,0,266.61
Kalkan (Turbot),Marmara Sea,1,740.94,42.3,5.16,5.86,13,82.11,0.47,69.92,62.68,20.75,10,921.88,0,272.4
Levrek (Sea Bass),Black Sea,9,457.58,26.21,3.64,3.94,19,67.32,0.7,41.35,24.04,11.43,24,4477.48,0,222.72
İstavrit (Horse Mackerel),Black Sea,11,397.75,23.44,3.58,3.49,11,97.38,0.59,42.57,57.44,10.8,13,2438.4,0,241.89
Lüfer (Bluefish),Mediterranean Sea,12,682.15,41.28,5.44,4.88,19,86.08,0.57,63.18,18.82,22.12,22,3576.93,0,220.34
İstavrit (Horse Mackerel),Black Sea,2,340.19,21.38,2.71,2.18,6,99.17,0.49,55.79,57.72,14.57,11,1408.4,0,306.43
İstavrit (Horse Mackerel),Aegean Sea,12,306.15,19.62,2.51,1.99,7,78.83,0.34,35.2,10.11,20.26,27,4971.06,0,180.0
Palamut (Bonito),Black Sea,3,681.82,37.93,6.21,5.23,7,100.0,0.41,59.75,46.14,9.19,12,1880.71,0,277.13
Hamsi (Anchovy),Black Sea,9,156.46,11.04,1.64,1.63,7,99.92,0.54,30.0,22.07,10.38,24,2253.81,0,257.81
İstavrit (Horse Mackerel),Black Sea,3,385.31,20.81,3.65,3.64,5,98.19,0.63,54.97,46.04,16.89,16,2201.75,0,326.11
Çipura (Sea Bream),Mediterranean Sea,9,512.45,30.07,5.37,3.37,19,100.0,0.67,59.39,30.76,20.9,18,3117.19,0,251.23
Çipura (Sea Bream),Aegean Sea,10,373.02,19.17,3.34,3.31,13,83.35,0.66,45.78,62.87,12.3,10,1011.26,0,252.75
Çipura (Sea Bream),Marmara Sea,8,427.87,25.05,3.58,3.21,16,93.59,0.99,40.93,15.59,15.38,27,4859.91,0,309.36
Çipura (Sea Bream),Black Sea,2,425.19,24.21,3.78,3.54,3,86.1,0.75,55.23,76.0,12.71,10,1333.83,0,362.3
Lüfer (Bluefish),Aegean Sea,12,497.22,30.55,3.4,3.71,11,96.99,0.3,46.79,41.64,17.6,17,3428.62,0,213.46
Levrek (Sea Bass),Mediterranean Sea,5,643.55,38.7,4.37,5.17,3,92.34,0.32,57.98,18.63,25.18,25,1915.1,0,257.86
Hamsi (Anchovy),Black Sea,11,104.28,6.85,0.77,0.88,1,96.42,0.97,26.42,67.5,17.71,10,920.04,0,436.5
Kalkan (Turbot),Aegean Sea,9,756.22,43.37,6.23,5.83,16,92.67,0.4,63.39,21.82,20.73,24,4400.46,0,180.0
İstavrit (Horse Mackerel),Aegean Sea,4,323.53,18.45,2.24,2.12,19,88.04,0.41,40.3,8.38,21.62,28,5000.0,0,180.0
Levrek (Sea Bass),Mediterranean Sea,3,505.7,27.52,4.15,4.32,16,84.42,0.56,60.85,8.78,21.77,28,5000.0,0,197.88
Palamut (Bonito),Aegean Sea,11,634.48,34.46,4.67,5.17,13,100.0,0.33,50.26,41.16,14.31,15,2087.56,0,249.14
İstavrit (Horse Mackerel),Marmara Sea,8,371.91,22.16,3.25,3.11,11,94.86,0.37,36.26,65.69,22.75,11,2092.42,0,189.46
Palamut (Bonito),Black Sea,2,606.45,34.49,4.07,5.25,12,86.0,0.43,47.56,46.99,18.3,15,3061.9,0,227.42
Kalkan (Turbot),Black Sea,5,760.83,44.07,5.41,6.24,18,78.41,0.68,58.18,41.75,9.43,18,1882.63,0,255.5
Palamut (Bonito),Marmara Sea,8,557.75,32.68,4.54,4.08,1,87.98,0.39,53.82,49.28,21.81,13,2572.55,0,288.03
Kalkan (Turbot),Mediterranean Sea,11,606.03,34.7,4.66,4.58,1,97.77,0.59,45.39,62.62,21.92,10,1694.55,0,346.54
İstavrit (Horse Mackerel),Mediterranean Sea,11,373.36,21.09,3.0,3.08,8,97.6,0.33,35.42,44.66,18.36,15,2891.99,0,224.82
Hamsi (Anchovy),Mediterranean Sea,7,114.29,8.1,0.88,0.62,4,99.86,0.37,35.68,19.9,17.5,21,2152.47,0,199.09
Hamsi (Anchovy),Mediterranean Sea,9,117.13,9.22,0.53,1.62,19,80.2,0.62,33.35,58.8,22.58,13,1358.43,0,208.95
Hamsi (Anchovy),Aegean Sea,1,110.76,7.58,1.07,0.75,4,94.76,0.95,27.97,72.07,24.87,13,1357.79,0,406.98
Lüfer (Bluefish),Mediterranean Sea,1,657.68,37.54,4.67,5.3,7,99.64,0.34,66.65,35.83,26.13,19,3965.09,0,281.78
Lüfer (Bluefish),Black Sea,10,607.87,36.47,4.81,4.59,11,99.41,0.9,50.14,14.4,20.94,22,2685.83,0,394.4
Levrek (Sea Bass),Aegean Sea,1,518.31,28.79,4.66,5.09,17,87.37,0.66,40.94,33.06,19.75,21,4037.38,0,250.6
İstavrit (Horse Mackerel),Marmara Sea,2,311.83,18.59,3.09,2.4,15,87.37,0.49,33.77,55.39,22.07,15,1516.45,0,206.08
Hamsi (Anchovy),Marmara Sea,9,151.83,8.23,0.89,1.66,3,100.0,0.65,32.93,77.07,15.59,10,1094.14,0,317.65
Kalkan (Turbot),Mediterranean Sea,9,753.29,46.82,5.86,5.41,7,100.0,0.52,75.05,5.05,16.5,28,5000.0,0,312.59
Levrek (Sea Bass),Black Sea,10,588.84,32.76,4.68,4.79,16,83.63,0.5,50.49,27.57,17.29,21,3348.65,0,226.13
İstavrit (Horse Mackerel),Aegean Sea,7,275.72,17.46,2.22,1.66,18,93.19,0.37,37.62,77.45,18.9,10,1877.57,0,180.0
